"id","wms_sku_id","name","image_url","codes","dimensions_mm","weight_g","picking_preset","deleted","trajectory_preset","last_modified","wms_turnover_prediction_day","wms_turnover_prediction_week","wms_turnover_prediction_month","is_pickable_only_by_hupi"
279,"917700","Corny Protein Caramel","https://cdn.rohlik.cz/images/grocery/products/1326329/1326329-1498478770.jpg","{8592084412234,8592084412227}","{27,58,120}",38,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
252,"913740","ArRashid mandle blanšírované pražené solené","https://cdn.rohlik.cz/images/grocery/products/1320551/1320551-1485258904.jpg","{8594002073404,8594002071820}","{37,99,111}",60,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
264,"919446","Marks & Spencer Ovocno-bylinný čaj s příchutí citrónu, zázvoru a ženšen","https://cdn.rohlik.cz/images/grocery/products/1328951/pickingImages/1328951-1599461435.jpg","{10187300730662,00730662}","{43,91,137}",52,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
272,"919764","Marks & Spencer Rajčatová polévka s bazalkou a extra panenským olivový olejem","https://cdn.rohlik.cz/images/grocery/products/1329295/1329295-1505141527.jpg","{00816304,1686008163041}","{109,73,74}",444,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
275,"920841","Yum Yum instantní nudlová polévka s krevetovou příchutí","https://cdn.rohlik.cz/images/grocery/products/1330991/1330991-1588234925.jpg","{8852018101055,8852018141051}","{90,100,30}",70,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
287,"936120","Sedita Princezky sušenky s kávovou náplní","https://cdn.rohlik.cz/images/grocery/products/1350033/1350033-1648212356927.jpg","{8584004150197,28584004150191}","{40,200,75}",84,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
276,"943302","Oyakata instantní japonské nudle s příchutí Classic","https://cdn.rohlik.cz/images/grocery/products/1356759/1356759-1560497579.jpg","{5901384507985,5901384507794}","{125,98,98}",120,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
278,"946533","Akinu Kachní prsíčka pro psy","https://cdn.rohlik.cz/images/grocery/products/1359313/1359313-1565877839.jpg","{8595184937485,8595184937409}","{200,120,18}",80,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
687,"946842","Koření od Antonína Hořčice žlutá celá","https://cdn.rohlik.cz/images/grocery/products/1359567/1359567-1626098571537.jpg","{1125}","{130,80,10}",44,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
286,"947211","Lenor Vonné perličky spring awakening","https://cdn.rohlik.cz/images/grocery/products/1359863/pickingImages/1359863-1639559102062.jpg","{8001841182193,8001841182186}","{193,77,77}",266,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
